Version|Hybrid|Variance|Gzip|Min|SingleRead|ModRead|Write|Computed
3.1.1|68.9|67.9|1.65|4.80|10.15|18.37|5.32|13.81
3.1.2|62.0|61.0|1.24|3.44|12.67|23.16|4.56|16.23
3.1.3|71.7|71.9|1.65|4.80|13.64|20.79|4.21|8.70
3.1.4|68.8|71.7|1.65|4.80|12.84|20.49|5.24|9.32
3.1.5|63.5|65.8|1.97|6.16|10.85|22.01|11.40|16.68
3.2.0|59.7|62.1|1.92|5.56|8.13|16.28|5.16|6.94
3.3.0|57.7|59.4|1.93|5.59|12.63|20.26|4.29|5.24
3.5.0|67.2|65.7|2.13|6.41|11.66|21.05|4.27|7.04
3.7.0|66.4|68.2|2.34|7.41|14.80|22.47|3.95|4.18
3.8.0|59.0|56.0|2.36|7.52|10.67|21.92|5.36|4.04
