Version|Hybrid Score|Variance Score|Gzipped KB|Minified KB|Timestamp
3.1.1|1.0|58.3|1.657|4.808|2025-11-14T01:02:28+00:00
3.1.2|1.0|58.3|1.242|3.445|2025-11-14T01:02:30+00:00
3.1.3|1.0|58.3|1.657|4.808|2025-11-14T01:02:31+00:00
3.1.4|1.0|58.3|1.657|4.808|2025-11-14T01:02:32+00:00
3.1.5|1.0|58.3|1.974|6.162|2025-11-14T01:02:33+00:00
3.2.0|1.0|58.3|1.929|5.568|2025-11-14T01:02:34+00:00
3.3.0|1.0|58.3|1.938|5.595|2025-11-14T01:02:35+00:00
3.5.0|1.0|58.3|2.133|6.415|2025-11-14T01:02:36+00:00
3.7.0|1.0|58.3|2.345|7.416|2025-11-14T01:02:36+00:00
3.8.0|1.0|58.3|2.362|7.529|2025-11-14T01:02:37+00:00
