Version,Hybrid Score,Variance Score,Hybrid Rank,Variance Rank,Bundle (gzipped),Bundle (minified),Timestamp
3.1.1,,,#,#,1.657 KB,4.808 KB,2025-11-14T00:59:14+00:00
3.1.2,,,#,#,1.242 KB,3.445 KB,2025-11-14T00:59:18+00:00
3.1.3,,,#,#,1.657 KB,4.808 KB,2025-11-14T00:59:22+00:00
3.1.4,,,#,#,1.657 KB,4.808 KB,2025-11-14T00:59:26+00:00
3.1.5,,,#,#,1.974 KB,6.162 KB,2025-11-14T00:59:31+00:00
3.2.0,,,#,#,1.929 KB,5.568 KB,2025-11-14T00:59:34+00:00
3.3.0,,,#,#,1.938 KB,5.595 KB,2025-11-14T00:59:38+00:00
3.5.0,,,#,#,2.133 KB,6.415 KB,2025-11-14T00:59:42+00:00
3.7.0,,,#,#,2.345 KB,7.416 KB,2025-11-14T00:59:46+00:00
3.8.0,,,#,#,2.362 KB,7.529 KB,2025-11-14T00:59:50+00:00
